시군명,업체명,도로명주소,지번주소,우편번호,전화번호,WGS84위도,WGS84경도
가평군,가평가축병원,,경기도 가평군 가평읍 대곡리 230번지 3호,12420,031-582-2412,37.8250380885,127.5141241472
가평군,가평축산농협 동물병원,,경기도 가평군 가평읍 대곡리,,031-582-4111,,
가평군,경기 동물병원,경기도 가평군 청평면 청평중앙로 8,경기도 가평군 청평면 청평리 438-23번지 경기동물병원,12453,031-584-1282,37.7358500189,127.4159359201
가평군,선진가축병원(산업동물출장진료전문병원),경기도 가평군 가평읍 향교로 3,경기도 가평군 가평읍 읍내리 535번지 2호,12417,070-8739-6388,37.8294368981,127.5104318158
가평군,설악동물병원,경기도 가평군 설악면 신천중앙로 117,경기도 가평군 설악면 신천리 454번지 3호,12467,031-584-3063,37.6779598351,127.4906328145
가평군,우랑동물병원,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166-1번지 대곡리 166번지 1호,12420,031-582-4111,37.8249298209,127.5150104334
가평군,청평동물병원,경기도 가평군 청평면 청평중앙로 55-1,경기도 가평군 청평면 청평리 465-25번지 이화장,12452,031-585-7583,37.7384399692,127.4204501612
가평군,현리 동물병원,경기도 가평군 조종면 현창로 70,경기도 가평군 조종면 현리 303번지 6호,12437,031-585-0096,37.8205225330,127.3465531247
고양시,24 일산우리 동물병원,경기도 고양시 일산서구 중앙로 1455,경기도 고양시 일산서구 주엽동 115번지 대우시티프라자,10387,031-913-5550,37.6708974586,126.7585231859
고양시,24시 나음동물의료센터,경기도 고양시 일산동구 백마로 223,경기도 고양시 일산동구 장항동 852번지 현대 에뜨레보,10403,031-906-7975,37.6550432318,126.7744729433
고양시,365 신원당 동물병원,경기도 고양시 덕양구 호국로790번길 88,경기도 고양시 덕양구 성사동 706번지 4호 1층 365 신원당동물병원,10464,031-963-0075,37.6544568764,126.8404013748
고양시,Dr. dog 동물영상의료센터,경기도 고양시 일산동구 일산로394번길 5-11,경기도 고양시 일산동구 정발산동 1294번지 4호 1층,10406,031-932-0075,37.6707044430,126.7812146784
고양시,FM 동물메디컬센터,경기도 고양시 덕양구 화중로 76,경기도 고양시 덕양구 화정동 970번지 1호 대감빌딩,10500,031-979-7975,37.6339354950,126.8311306207
고양시,가람동물병원,,경기도 고양시 일산동구 마두동 796번지,10415,031-906-0976,37.6541355131,126.7793111675
고양시,가좌 동물병원,경기도 고양시 일산서구 가좌3로 7-1,경기도 고양시 일산서구 가좌동 308번지 1호,10209,031-922-5777,37.6854228548,126.7201923221
고양시,강남,경기도 고양시 일산동구 위시티로 75,경기도 고양시 일산동구 식사동 670-28번지 트윈시티 1동 101호,10325,031-906-7575,37.6787518603,126.8111889898
고양시,거부기 동물병원,경기도 고양시 일산동구 무궁화로 11,경기도 고양시 일산동구 장항동 742-1번지 한라밀라트 B동 113호,10364,031-916-1310,37.6618944881,126.7659256092
고양시,고양 우리아이 동물병원,경기도 고양시 덕양구 혜음로 54,경기도 고양시 덕양구 고양동 163번지,10274,031-965-0079,37.7054151818,126.9024807106
고양시,고양동물병원,경기도 고양시 덕양구 혜음로 8,경기도 고양시 덕양구 고양동 243번지,10275,031-964-7599,37.7010764859,126.9018235658
고양시,고양시 동물보호센터,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471번지 10호 고양시 농업기술센터,10563,031-8075-4657,37.6497789908,126.8700863528
고양시,골든캐슬 쇼룸,경기도 고양시 일산동구 강송로113번길 54-9,경기도 고양시 일산동구 백석동 1200번지 1호,10420,031-905-5002,37.6477198530,126.7840434457
고양시,그랜드 동물병원,경기도 고양시 일산서구 주엽로 134,경기도 고양시 일산서구 주엽동 115번지 1호,10387,031-921-7582,37.6707056974,126.7581282251
고양시,김 S 동물병원,경기도 고양시 일산동구 무궁화로93번길 6-10,경기도 고양시 일산동구 정발산동 702-4번지,10362,031-916-7509,37.6667464666,126.7736673823
고양시,다니엘 동물병원,경기도 고양시 일산동구 일산로 233,경기도 고양시 일산동구 마두동 751-2번지 1층,10416,031-908-5857,37.6568395616,126.7882299359
고양시,더독,경기도 고양시 일산동구 고봉로278번길 16,경기도 고양시 일산동구 중산동 1667번지 3호,10338,031-977-0154,37.6832431833,126.7784852605
고양시,더바름동물병원,경기도 고양시 덕양구 향기로 56,경기도 고양시 덕양구 향동동 563번지 스카이타워 101호,10546,02-6953-7515,37.5949852486,126.8921164431
고양시,돌봄동물병원,경기도 고양시 일산서구 하이파크2로 42,경기도 고양시 일산서구 덕이동 1544번지,10234,031-911-7585,37.6990709886,126.7539661867
고양시,디엔씨동물병원,경기도 고양시 덕양구 중앙로 550,경기도 고양시 덕양구 행신동 950-1 삼일프라자 106호,10495,031-978-0075,37.6234997889,126.8362215426
고양시,라인동물의료센터,경기도 고양시 덕양구 동송로 70,경기도 고양시 덕양구 삼송동 291번지 힐스테이트 삼송역 227동 231호,10591,02-381-2475,37.6526552003,126.8961245289
고양시,로하스동물병원,경기도 고양시 일산서구 강선로 74,경기도 고양시 일산서구 주엽동 63번지 강선8단지 상가 106호,10361,031-923-8275,37.6703382311,126.7656610162
고양시,리사앤루이,경기도 고양시 일산동구 위시티3로 53-9,경기도 고양시 일산동구 식사동 1555-3번지 102호,10323,,37.6761620672,126.8153180041
고양시,리즈펫동물병원,,경기도 고양시 덕양구 동산동 369번지 이편한세상시티삼송,10595,02-479-2275,37.6490632724,126.8969811349
고양시,마리동물병원,,경기도 고양시 일산서구 탄현동 1487번지,10243,031-913-0182,37.6932624155,126.7676921564
고양시,미래동물병원,경기도 고양시 일산서구 탄중로 111,경기도 고양시 일산서구 덕이동 263번지 19호 양우로데오메인타운,10233,031-912-7722,37.6928949367,126.7579298860
고양시,미유펫 강아지고양이 일산점,경기도 고양시 일산서구 일산로803번길 66,경기도 고양시 일산서구 대화동 2290번지 1호,10383,,37.6706216179,126.7505318694
고양시,민동물병원,경기도 고양시 덕양구 호국로 778-6,경기도 고양시 덕양구 성사동 699번지 1호,10464,031-966-3243,37.6556019519,126.8356524373
고양시,반딧불 동물병원,경기도 고양시 일산서구 중앙로 1443,경기도 고양시 일산서구 주엽동 110번지 2호 가람프라자,10387,031-904-2345,37.6703911449,126.7597074862
고양시,백마동물병원,경기도 고양시 일산동구 일산로 212,경기도 고양시 일산동구 마두동 728-1번지 103호,10417,031-907-8275,37.6553265216,126.7899222246
고양시,벳케어동물병원,경기도 고양시 일산서구 가좌3로 27,경기도 고양시 일산서구 가좌동 390-8 준프라자 102호,10209,031-921-0117,37.6871832352,126.7192552209
고양시,봄빛동물병원,경기도 고양시 일산동구 강송로87번길 8-10,경기도 고양시 일산동구 백석동 1244번지 3호,10446,031-907-3511,37.6477188776,126.7883509947
고양시,사과나무 동물병원,경기도 고양시 일산서구 일산로 539,경기도 고양시 일산서구 일산동 1084-3번지 가람빌딩 101호,10375,031-912-7582,37.6773558009,126.7679619385
고양시,산들동물병원,경기도 고양시 일산동구 고봉로 250,경기도 고양시 일산동구 중산동 1669번지 4호,10355,031-976-7585,37.6816119593,126.7785124016
고양시,삼송동물의료센터,경기도 고양시 덕양구 삼송로205번길 15,경기도 고양시 덕양구 삼송동 61번지 9호,10556,02-381-9658,37.6544578442,126.8961212669
