시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
가평군,가평읍,941,,,,596,294,51,,85,,3,2021-06-28
가평군,북면,289,,,,176,93,20,,185,,0,2021-06-28
가평군,상면,399,,,,217,153,29,,243,,0,2021-06-28
가평군,설악면,1111,,,,446,612,53,,625,,1,2021-06-28
가평군,조종면,416,,,,218,161,37,,274,,1,2021-06-28
가평군,청평면,861,,,,517,253,91,,594,,2,2021-06-28
고양시,가좌동,1062,3,1058,1,677,230,155,57,806,1.32,2,2021-06-25
고양시,강매동,56,0,56,0,50,5,1,15,26,2.15,,2021-06-25
고양시,고양동,1334,20,1313,1,836,396,102,56,1005,1.33,2,2021-06-25
고양시,관산동,941,10,931,0,536,334,71,53,697,1.35,1,2021-06-25
고양시,구산동,123,0,123,0,72,37,14,28,77,1.6,,2021-06-25
고양시,내곡동,63,1,62,0,46,13,4,21,40,1.58,,2021-06-25
고양시,내유동,958,17,941,0,593,285,80,60,665,1.44,1,2021-06-25
고양시,대자동,141,4,137,0,78,49,14,33,102,1.38,,2021-06-25
고양시,대장동,85,1,84,0,57,21,7,22,61,1.39,,2021-06-25
고양시,대화동,3298,25,3272,1,2269,796,233,95,2520,1.31,5,2021-06-25
고양시,덕은동,160,3,157,0,77,74,9,43,102,1.57,,2021-06-25
고양시,덕이동,1913,13,1900,0,1232,551,130,79,1276,1.5,3,2021-06-25
고양시,도내동,778,8,770,0,440,295,43,53,604,1.29,2,2021-06-25
고양시,동산동,1092,5,1087,0,628,392,72,54,540,2.02,2,2021-06-25
고양시,마두동,2514,27,2482,5,1724,652,138,67,2014,1.25,6,2021-06-25
고양시,문봉동,87,1,86,0,41,38,8,30,67,1.3,,2021-06-25
고양시,백석동,3777,35,3741,1,2474,1025,278,92,2822,1.34,6,2021-06-25
고양시,법곳동,103,3,97,3,74,13,16,31,66,1.56,,2021-06-25
고양시,벽제동,201,1,200,0,136,53,12,31,120,1.68,0,2021-06-25
고양시,북한동,5,0,5,0,0,4,1,3,3,1.67,,2021-06-25
고양시,사리현동,383,5,378,0,221,125,37,45,272,1.41,,2021-06-25
고양시,산황동,23,0,23,0,15,6,2,11,16,1.44,,2021-06-25
고양시,삼송동,995,15,980,0,549,354,92,63,731,1.36,4,2021-06-25
고양시,선유동,68,2,66,0,53,13,2,17,17,4,,2021-06-25
고양시,설문동,257,5,251,1,175,66,16,43,127,2.02,,2021-06-25
고양시,성사동,1786,19,1766,1,1068,640,78,67,1385,1.29,2,2021-06-25
고양시,성석동,808,3,804,1,540,195,73,62,502,1.61,,2021-06-25
고양시,식사동,2391,13,2376,2,1401,801,189,80,1835,1.3,7,2021-06-25
고양시,신원동,914,20,894,0,492,358,64,56,693,1.32,2,2021-06-25
고양시,신평동,18,0,18,0,11,4,3,11,9,2,,2021-06-25
고양시,오금동,44,0,44,0,27,13,4,15,32,1.38,,2021-06-25
고양시,용두동,119,2,117,0,62,42,15,30,74,1.61,,2021-06-25
고양시,원당동,88,0,88,0,60,24,4,22,58,1.52,,2021-06-25
고양시,원흥동,882,38,844,0,467,349,66,59,642,1.37,1,2021-06-25
고양시,일산동,4406,22,4383,1,2882,1227,297,84,3494,1.26,5,2021-06-25
고양시,장항동,3187,33,3154,0,2040,917,230,84,2205,1.45,10,2021-06-25
고양시,정발산동,1725,15,1710,0,1148,454,123,72,1282,1.35,4,2021-06-25
고양시,주교동,1147,9,1137,1,716,390,41,59,885,1.3,1,2021-06-25
고양시,주엽동,3219,22,3196,1,2113,917,189,77,2616,1.23,7,2021-06-25
고양시,중산동,2670,20,2650,0,1772,656,242,73,2101,1.27,5,2021-06-25
고양시,지영동,37,0,37,0,25,10,2,14,26,1.42,,2021-06-25
고양시,지축동,259,3,255,1,156,82,21,33,192,1.35,,2021-06-25
고양시,탄현동,3093,17,3076,0,2067,749,277,81,2426,1.27,3,2021-06-25
고양시,토당동,2252,38,2214,0,1758,405,89,81,1434,1.57,1,2021-06-25
고양시,풍동,2356,20,2335,1,1586,580,190,78,1843,1.28,3,2021-06-25
고양시,행신동,5015,50,4962,3,3352,1366,297,91,4035,1.24,4,2021-06-25
고양시,행주내동,69,4,65,0,46,14,9,21,50,1.38,,2021-06-25
고양시,행주외동,40,0,40,0,19,9,12,17,25,1.6,,2021-06-25
고양시,향동동,300,2,298,0,157,111,32,36,243,1.23,2,2021-06-25
고양시,현천동,87,0,87,0,47,27,13,30,53,1.64,,2021-06-25
고양시,화전동,389,3,386,0,301,69,19,40,131,2.97,,2021-06-25
고양시,화정동,3809,36,3770,3,2509,1118,182,87,3099,1.23,6,2021-06-25
고양시,효자동,26,0,26,0,16,9,1,15,18,1.44,,2021-06-25
과천시,갈현동,46,2,43,1,24,19,3,17,32,1.44,0,2020-03-15
과천시,과천동,195,30,165,0,100,59,36,36,141,1.38,1,2020-03-15
과천시,관문동,2,0,2,0,0,2,0,2,1,2,0,2020-03-15
과천시,막계동,1,0,1,0,1,0,0,1,1,1,0,2020-03-15
과천시,문원동,210,10,200,0,111,63,36,35,168,1.25,0,2020-03-15
과천시,별양동,402,17,385,0,215,148,39,36,350,1.15,2,2020-03-15
과천시,부림동,263,22,241,0,122,91,50,32,232,1.13,0,2020-03-15
과천시,원문동,253,16,237,0,138,94,21,32,216,1.17,2,2020-03-15
과천시,주암동,128,7,121,0,56,57,15,28,99,1.29,0,2020-03-15
과천시,중앙동,214,14,200,0,107,80,27,30,190,1.13,0,2020-03-15
과천시,합계,1714,118,1595,1,874,613,227,65,1430,1.2,5,2020-03-15
광명시,가학동,74,2,72,0,38,27,9,19,53,1.4,,2020-12-17
광명시,광명동,5526,613,4912,1,2922,1822,782,82,4284,1.29,3,2020-12-17
