연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2021,04,도,경기도,13479798,1130520,1325369,1812656,1901856,2298715,2242984,1587742,767606,357086,52864,2400,6784466,578890,681423,954827,981229,1169273,1136978,789501,349150,130158,12458,579,6695332,551630,643946,857829,920627,1129442,1106006,798241,418456,226928,40406,1821
2021,04,읍면동,경기도 가평군 ,62206,3282,4561,6213,5602,7848,11213,12410,6791,3726,524,36,32080,1648,2403,3576,3044,4224,5954,6414,3222,1440,141,14,30126,1634,2158,2637,2558,3624,5259,5996,3569,2286,383,22
2021,04,읍면동,경기도 가평군 가평읍 ,19426,1123,1658,2196,1865,2626,3417,3349,1916,1108,152,16,9886,570,905,1203,981,1409,1807,1685,869,410,43,4,9540,553,753,993,884,1217,1610,1664,1047,698,109,12
2021,04,읍면동,경기도 가평군 북면,3907,151,200,246,264,399,702,997,563,334,46,5,2000,63,108,139,149,228,390,509,276,125,11,2,1907,88,92,107,115,171,312,488,287,209,35,3
2021,04,읍면동,경기도 가평군 상면,5617,151,293,537,373,554,1105,1424,740,387,51,2,2958,76,166,356,209,318,559,745,372,144,12,1,2659,75,127,181,164,236,546,679,368,243,39,1
2021,04,읍면동,경기도 가평군 설악면 ,9639,543,769,914,826,1126,1711,2058,985,589,114,4,4950,267,370,508,455,578,917,1086,497,237,32,3,4689,276,399,406,371,548,794,972,488,352,82,1
2021,04,읍면동,경기도 가평군 조종면 ,9655,689,658,1025,1123,1226,1631,1820,955,475,48,5,5133,350,342,632,628,665,853,1001,453,194,13,2,4522,339,316,393,495,561,778,819,502,281,35,3
2021,04,읍면동,경기도 가평군 청평면 ,13962,625,983,1295,1151,1917,2647,2762,1632,833,113,4,7153,322,512,738,622,1026,1428,1388,755,330,30,2,6809,303,471,557,529,891,1219,1374,877,503,83,2
2021,04,시군,경기도 고양시 ,1080736,81222,103680,149697,143232,180894,195280,125985,61795,33821,4948,182,529062,41474,53030,76716,71068,87592,96072,63077,26504,12236,1246,47,551674,39748,50650,72981,72164,93302,99208,62908,35291,21585,3702,135
2021,04,구,경기도 고양시 덕양구 ,479828,38448,41295,62636,68497,78854,83215,59022,30338,15327,2103,93,237074,19626,21099,32403,34519,39513,41453,29210,13115,5602,512,22,242754,18822,20196,30233,33978,39341,41762,29812,17223,9725,1591,71
2021,04,읍면동,경기도 고양시 덕양구 고양동,30071,2139,3092,3562,3203,5207,5081,4115,2439,1088,139,6,15094,1082,1635,1904,1643,2632,2687,1976,1067,423,44,1,14977,1057,1457,1658,1560,2575,2394,2139,1372,665,95,5
2021,04,읍면동,경기도 고양시 덕양구 관산동,36710,2089,2816,4331,4071,5711,6964,5971,3121,1428,199,9,18601,1075,1461,2385,2189,3007,3566,2936,1403,540,37,2,18109,1014,1355,1946,1882,2704,3398,3035,1718,888,162,7
2021,04,읍면동,경기도 고양시 덕양구 능곡동,15578,895,1204,2114,1816,2197,3147,2386,1150,578,90,1,7995,475,641,1168,964,1102,1611,1253,533,231,17,0,7583,420,563,946,852,1095,1536,1133,617,347,73,1
2021,04,읍면동,경기도 고양시 덕양구 대덕동,2440,86,126,394,267,292,452,445,253,107,14,4,1414,43,68,244,170,169,282,265,121,48,3,1,1026,43,58,150,97,123,170,180,132,59,11,3
2021,04,읍면동,경기도 고양시 덕양구 삼송동,24028,2429,1560,2808,4608,4023,3452,2847,1560,669,69,3,11591,1196,813,1330,2271,2041,1603,1365,707,250,14,1,12437,1233,747,1478,2337,1982,1849,1482,853,419,55,2
2021,04,읍면동,경기도 고양시 덕양구 성사1동 ,21838,1277,1815,2984,2541,3416,4238,3047,1578,816,116,10,10863,658,963,1572,1319,1735,2169,1465,652,306,23,1,10975,619,852,1412,1222,1681,2069,1582,926,510,93,9
2021,04,읍면동,경기도 고양시 덕양구 성사2동 ,11385,612,1021,1473,1272,1700,2100,1637,941,558,67,4,5503,306,523,807,651,804,994,799,401,203,14,1,5882,306,498,666,621,896,1106,838,540,355,53,3
2021,04,읍면동,경기도 고양시 덕양구 원신동,23557,3009,2021,2225,3914,4285,3292,2857,1330,548,76,0,11330,1487,979,1145,1813,2187,1552,1336,613,199,19,0,12227,1522,1042,1080,2101,2098,1740,1521,717,349,57,0
2021,04,읍면동,경기도 고양시 덕양구 주교동,14866,549,1140,2084,1540,2077,3160,2396,1229,602,85,4,7674,304,623,1160,877,1080,1660,1222,525,201,20,2,7192,245,517,924,663,997,1500,1174,704,401,65,2
2021,04,읍면동,경기도 고양시 덕양구 창릉동,21918,2642,1585,2417,4921,3873,2746,2189,1053,417,72,3,10928,1374,814,1162,2441,2002,1379,1076,501,154,25,0,10990,1268,771,1255,2480,1871,1367,1113,552,263,47,3
2021,04,읍면동,경기도 고양시 덕양구 행신1동 ,21922,1310,2039,3074,2683,3467,4242,2877,1361,759,105,5,10701,710,998,1568,1409,1655,2061,1461,532,283,23,1,11221,600,1041,1506,1274,1812,2181,1416,829,476,82,4
2021,04,읍면동,경기도 고양시 덕양구 행신2동 ,32108,2212,2748,4866,4886,4908,5914,3555,1825,1051,136,7,15781,1137,1403,2554,2520,2344,2878,1814,744,353,33,1,16327,1075,1345,2312,2366,2564,3036,1741,1081,698,103,6
2021,04,읍면동,경기도 고양시 덕양구 행신3동 ,45765,2638,4784,6901,5079,7319,9291,5386,2601,1534,230,2,22211,1351,2399,3603,2561,3474,4537,2660,1079,492,54,1,23554,1287,2385,3298,2518,3845,4754,2726,1522,1042,176,1
2021,04,읍면동,경기도 고양시 덕양구 행주동,18995,704,1191,2850,2264,2681,3974,3054,1420,739,116,2,9944,378,630,1568,1286,1462,2156,1581,602,262,18,1,9051,326,561,1282,978,1219,1818,1473,818,477,98,1
